id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Erasmus,  5.94683577e-03,  8.30558930e-03,  7.56789333e-03,  7.60989311e-03,   5.71910159e-03,  8.16670578e-04, -1.73175786e-04, -6.92871264e-04,  -5.89985622e-04,  9.50195516e-05,  1.21700160e-03,  1.98333999e-03,   3.41010312e-03,  1.73443703e-03,  4.94485434e-03,  2.33340468e-03,   1.82381725e-03,  2.46793536e-03,  2.04752466e-03,  2.46262789e-03,   2.51895889e-03,  2.62790728e-03,  2.34904464e-03,  3.65047062e-03
Far Rockaway-Bayswater, 0.0010174 , 0.00159255, 0.00089342, 0.00091005, 0.00066343, 0.00077344,  0.00052233, 0.00032917, 0.0003965 , 0.00044582, 0.00097254, 0.0011868 ,  0.00355698, 0.00471897, 0.00508528, 0.00312853, 0.00270445, 0.00115823,  0.00105246, 0.00049537, 0.00051881, 0.00056023, 0.00057535, 0.000678  
Flatbush, 0.04070369, 0.04533244, 0.0549082 , 0.05460453, 0.02808448, 0.0074087 ,  0.00145189,-0.00092268,-0.00077637, 0.00218036, 0.00673601, 0.01244078,  0.02664087, 0.03618248, 0.03339432, 0.02891324, 0.02218845, 0.01847333,  0.01614061, 0.01378296, 0.01548227, 0.01917199, 0.02311037, 0.03111032
Flatlands, 0.00731184, 0.00852397, 0.00957293, 0.00956242, 0.00401054, 0.00209185,  0.00090351, 0.00045214, 0.00045105, 0.00125657, 0.00289122, 0.00511261,  0.01085178, 0.01572221, 0.01690879, 0.01257535, 0.01010727, 0.00766824,  0.00566443, 0.00400491, 0.00418575, 0.00422457, 0.00444867, 0.00578835
Flushing,-0.00771763,-0.01161515,-0.01242861,-0.00940772,-0.00199744, 0.00030876, -0.00033702,-0.00135206,-0.00130598,-0.0016668 , 0.0005725 , 0.00061784, -0.00040865,-0.01031159,-0.00426682,-0.00306207,-0.00998217,-0.01324855, -0.00975914,-0.00593422,-0.00444122,-0.00354851,-0.00319691,-0.00314116
Fordham South,  2.00618192e-03,  2.91089503e-03,  5.11879290e-03,  3.18799419e-03,   2.62408023e-03,  8.49090393e-04,  8.09495717e-05,  3.13045299e-04,   1.66927174e-04,  1.02815212e-04,  1.20959354e-03,  2.30195629e-03,   2.84708140e-03,  2.05806163e-03,  2.13641780e-03,  3.82899364e-03,   2.20909416e-03, -4.11494528e-04,  5.94052538e-04,  3.95974015e-04,   3.87083723e-04,  7.70457258e-04,  7.19367851e-04,  1.78776080e-03
Forest Hills, 0.00454807,-0.00294482,-0.00380293,-0.00090848,-0.00188541,-0.00648859, -0.00399174,-0.00472259,-0.00736356,-0.00987953,-0.00923578,-0.01133027, -0.0155368 ,-0.0240117 ,-0.02134211,-0.0228455 ,-0.01900866,-0.01727398, -0.0114474 ,-0.00378874, 0.00311309, 0.01006835, 0.00994662, 0.00927791
Fort Greene,-0.00223834,-0.00310658, 0.00323487, 0.01530515,-0.00019085,-0.00481357, -0.00336312,-0.00388802,-0.00627024,-0.0180143 ,-0.02164429,-0.02109358, -0.05012592,-0.05745291,-0.06189594,-0.04416237,-0.0506564 ,-0.02495888, -0.00952994,-0.00207167,-0.00243033,-0.00532613,-0.00763873,-0.00589289
Fresh Meadows-Utopia, 0.00231487, 0.0023043 , 0.00273698, 0.00269029, 0.00160174, 0.00129216,  0.00050226, 0.00052068, 0.00074427, 0.00134622, 0.00238748, 0.00328056,  0.00737573, 0.01651329, 0.01233104, 0.00897836, 0.00724521, 0.00567479,  0.00402089, 0.0020445 , 0.00209957, 0.00252679, 0.00222524, 0.00220506
Ft. Totten-Bay Terrace-Clearview, 0.0022377 , 0.00308074, 0.00273698, 0.00177146, 0.00101355, 0.00108684,  0.00041533, 0.00033925, 0.0003715 , 0.00071088, 0.00154296, 0.00219954,  0.00394865, 0.00986101, 0.00738819, 0.00672551, 0.0042318 , 0.00365245,  0.0020643 , 0.00153041, 0.00161567, 0.00178966, 0.00169212, 0.00190267
